Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_Lib_ms
1024,0.023235,1.28922,2.03606,0.033792
2048,0.045889,2.52518,2.07443,0.033792
4096,0.094213,5.01146,2.10323,0.034816
8192,0.187975,9.98195,2.10294,0.23552
16384,0.372513,19.8605,2.11542,0.120832
32768,0.752622,39.0175,2.08678,0.11264
65536,1.59871,78.3032,2.15667,0.114688
131072,3.20284,144.29,2.28234,0.292864
262144,6.42698,263.052,2.67526,0.280576
524288,13.159,526.152,11.505,0.299008
1048576,25.2738,1055.78,10.703,0.33792
2097152,49.7415,2103.32,12.1744,0.423936
4194304,99.8699,4357.11,15.9756,0.59392
8388608,198.725,9263.88,25.5252,0.92672
16777216,398.676,18858.2,38.8934,1.4377
33554432,800.85,37785.9,68.3225,2.46272
