Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_Lib_ms,GPU_Opt_ms
1024,0.0243873,1.95413,2.14247,0.0385707,0.795648
2048,0.042469,2.52075,2.09009,0.0334507,0.167936
4096,0.0771897,4.99814,2.03895,0.033792,0.170667
8192,0.160395,9.94714,2.04125,0.116053,0.174763
16384,0.313258,19.7188,2.04903,0.11776,0.175104
32768,0.631135,41.09,2.07583,0.117077,0.194219
65536,1.25501,67.2997,1.92325,0.0979627,0.201045
131072,2.55608,132.253,2.19762,0.263168,0.257707
262144,5.13627,264.599,2.52112,0.262144,0.625323
524288,10.5345,529.094,9.73815,0.280235,0.858453
1048576,20.9923,1058.62,10.1986,0.331093,1.27727
2097152,41.9703,2116.68,13.289,0.798037,2.08828
4194304,88.091,4419.14,15.0368,0.569685,3.64885
8388608,171.029,9303.72,24.2279,0.912725,7.93566
16777216,361.35,18931.5,44.3184,1.40595,17.2285
33554432,672.71,37936.8,65.433,2.44565,33.3326
