Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_Lib_ms,GPU_Opt_ms
1024,0.024828,3.52563,3.68522,0.033792,0.217088
2048,0.045408,2.52518,2.12118,0.032768,0.175104
4096,0.094994,4.99712,2.12458,0.034816,0.1792
8192,0.186091,9.97274,2.13235,0.239616,0.180224
16384,0.377222,19.8533,2.14842,0.12288,0.187392
32768,0.757661,41.5683,2.17162,0.121856,0.200704
65536,1.52708,84.6285,2.25203,0.121856,0.239616
131072,3.05482,134.016,2.30288,0.29184,0.267264
262144,6.14666,262.972,2.65606,0.288768,0.561152
524288,12.3534,525.741,10.1705,0.300032,0.9216
1048576,24.7911,1051.74,11.6704,0.33792,1.35066
2097152,50.1577,2102.55,30.0839,0.427008,2.20262
4194304,99.2617,4354.4,15.9239,0.589824,3.88608
8388608,198.926,9246.86,25.6448,0.925696,8.99994
16777216,398.872,18821.6,38.7396,1.44282,18.5999
33554432,799.899,37710.1,66.839,2.4576,49.2575
