Size,CPU_ms,GPU_Seq_ms,GPU_Naive_ms,GPU_P2_Opt_ms,GPU_P3_Opt_ms,GPU_Thrust_ms
1024,0.0254123,2.41937,17.3087,15.5075,7.92883,0.038912
2048,0.0485007,2.52553,3.00201,0.178176,0.177493,0.033792
4096,0.0936387,5.00668,3.0273,0.176128,0.176128,0.034816
8192,0.193629,9.97035,3.03799,0.185685,0.185003,0.122197
16384,0.395029,19.8769,3.07442,0.189099,0.192512,0.123904
32768,0.785998,35.5526,2.85436,0.26112,0.259413,0.106837
65536,1.61047,65.7855,2.76828,0.277504,0.280235,0.100693
131072,3.18525,131.44,3.12615,0.334507,0.335531,0.307541
262144,6.48308,265.963,4.15107,1.29536,1.14825,0.869035
524288,13.0835,526.161,18.4656,3.49696,3.54816,0.926037
1048576,26.3589,1051.85,25.0436,1.41107,1.78961,0.363179
2097152,52.0635,2101.66,23.0331,2.45999,2.29513,0.446123
4194304,104.233,4348.89,28.4937,3.93694,3.99292,0.608939
8388608,200.315,9258.83,57.742,9.73039,9.93314,0.927061
16777216,398.486,18843.8,76.5377,20.2124,20.0093,1.4534
33554432,834.287,37754,133.561,44.843,41.9642,2.47569
